HGNC ,Kinase Classification,PG.ProteinGroups,[4] Hek293_XO44_invivo_1.raw.PG.Quantity,[5] Hek293_XO44_invivo_2.raw.PG.Quantity,[6] Hek293_XO44_invivo_3.raw.PG.Quantity,[10] HeLa_XO44_invivo_1.raw.PG.Quantity,[11] HeLa_XO44_invivo_2.raw.PG.Quantity,[12] HeLa_XO44_invivo_3.raw.PG.Quantity,average_hek293_X044_invivo,average_hela_X044_invivo
DYRK2,CMGC,Q92630,4279.087890625,3141.46240234375,3473.63330078125,461.552490234375,1138.7689208984375,774.0855102539062,3631.39453125,791.4689737955729
EEF2K,Atypical,O00418,327.1072692871094,295.898193359375,316.2734680175781,357.3080749511719,355.1419372558594,604.2341918945312,313.0929768880208,438.8947347005208
EGFR,TK,P00533,4225.04345703125,3462.06298828125,3946.61962890625,36157.50390625,38888.67578125,48545.1484375,3877.90869140625,41197.109375
EIF2AK1,Other,Q9BQI3,3896.6318359375,3265.30419921875,3229.263671875,1814.21435546875,2100.369140625,1913.482177734375,3463.7332356770835,1942.6885579427083
EIF2AK2,Other,P19525,50184.19140625,40089.80078125,41541.31640625,19632.126953125,20433.7421875,29027.3671875,43938.436197916664,23031.078776041668
EIF2AK3,Other,Q9NZJ5,1290.2598876953125,1065.6419677734375,1199.1766357421875,886.2931518554688,917.3765258789062,1227.449462890625,1185.0261637369792,1010.373046875
EIF2AK4,Other,Q9P2K8,3962.872314453125,3695.234130859375,4017.312744140625,3066.508056640625,3313.173583984375,4034.11279296875,3891.806396484375,3471.2648111979165
EPHA2,TK,P29317,12771.7822265625,10349.990234375,12413.37109375,1168.594482421875,1175.0457763671875,1526.1595458984375,11845.0478515625,1289.9332682291667
EPHA3,TK,P29320,9321.34765625,8727.8984375,13835.9091796875,1296.19873046875,2656.733642578125,3879.251708984375,10628.385091145834,2610.72802734375
EPHA4,TK,P54764,5832.94482421875,9497.8271484375,11029.08984375,1080.5811767578125,1437.8587646484375,1586.4837646484375,8786.62060546875,1368.3079020182292
EPHA5,TK,P54756,1416.27587890625,1335.092529296875,1703.0941162109375,776.9514770507812,806.093994140625,1093.572998046875,1484.8208414713542,892.2061564127604
EPHA7,TK,Q15375,4232.55126953125,3198.021484375,3670.133056640625,965.951416015625,1074.5150146484375,1574.95556640625,3700.2352701822915,1205.1406656901042
EPHB1,TK,P54762,7609.3583984375,2837.34765625,6109.017578125,2870.076171875,1656.7642822265625,2579.944580078125,5518.574544270833,2368.9283447265625
EPHB2,TK,P29323,2138.5009765625,1892.4259033203125,2118.333251953125,1163.8314208984375,1098.02294921875,1761.8697509765625,2049.753377278646,1341.2413736979167
EPHB4,TK,P54760,2033.4031982421875,1673.3455810546875,1909.73583984375,1114.8287353515625,1027.2698974609375,1588.4468994140625,1872.1615397135417,1243.5151774088542
ERBB2,TK,P04626,15340.3447265625,13264.5673828125,14595.6748046875,7789.2236328125,7890.3857421875,11309.8515625,14400.195638020834,8996.486979166666
ERBB4,TK,Q15303,5390.43115234375,3112.41064453125,4299.80859375,857.5784301757812,345.6952209472656,1574.7088623046875,4267.550130208333,925.9941711425781
FER,TK,P16591,4267.45361328125,3788.71923828125,4190.77294921875,5105.20166015625,5083.94873046875,6002.9677734375,4082.3152669270835,5397.372721354167
FGFR1,TK,P11362,1776.7730712890625,1042.612060546875,1407.9798583984375,305.8208923339844,383.6792907714844,308.42803955078125,1409.1216634114583,332.6427408854167
FGFR2,TK,P21802,7100.94287109375,7869.50732421875,6552.66748046875,1600.5191650390625,773.5611572265625,1209.355224609375,7174.37255859375,1194.478515625
FGFR3,TK,P22607,3320.574951171875,2973.78955078125,3458.119384765625,555.1265869140625,438.4541320800781,800.6333618164062,3250.8279622395835,598.0713602701823
FLT4,TK,P35916,7362.63818359375,7591.23681640625,7920.49072265625,1027.8502197265625,1863.7303466796875,2203.505126953125,7624.78857421875,1698.3618977864583
FYN,TK,P06241,9619.56640625,8147.90771484375,9310.7578125,8743.01953125,8013.39697265625,11874.02734375,9026.077311197916,9543.481282552084
GAK,Other,O14976,7666.97607421875,6779.2998046875,7255.201171875,4264.5224609375,4202.708984375,5529.01611328125,7233.82568359375,4665.415852864583
GRK2,AGC,P25098,2050.404541015625,1597.98291015625,1745.3673095703125,636.74951171875,611.0670166015625,951.5864868164062,1797.9182535807292,733.1343383789062
GRK5,AGC,P34947,437.97552490234375,382.4842529296875,515.0602416992188,729.6019897460938,782.89404296875,1077.279541015625,445.17333984375,863.2585245768229
GRK6,AGC,P43250,5341.68701171875,4271.12646484375,4961.7822265625,854.6541748046875,904.7981567382812,1071.548583984375,4858.198567708333,943.6669718424479
GSK3A,CMGC,P49840,26707.146484375,21745.421875,23517.921875,7680.27783203125,6807.677734375,9619.873046875,23990.163411458332,8035.94287109375
GSK3B,CMGC,P49841,14402.9638671875,11766.357421875,12255.41015625,7279.4384765625,7007.033203125,9724.1455078125,12808.243815104166,8003.5390625
HASPIN,Other,Q8TF76,2477.11181640625,1756.420166015625,2040.34033203125,733.5598754882812,1138.28515625,2005.6629638671875,2091.290771484375,1292.502665201823
HIPK1,CMGC,Q86Z02,2659.4912109375,1904.414794921875,2579.26904296875,1291.1019287109375,1726.2781982421875,1757.8199462890625,2381.058349609375,1591.7333577473958
HIPK2,CMGC,Q9H2X6,2652.328857421875,1976.974365234375,2376.021728515625,904.2177734375,959.3294677734376,1192.947021484375,2335.1083170572915,1018.8314208984375
HIPK3,CMGC,Q9H422,620.53759765625,778.1173706054688,802.3051147460938,466.3459167480469,337.93780517578125,580.0101318359375,733.6533610026041,461.43128458658856
HSPB8,not in kinbase,Q9UJY1,451.45208740234375,241.2009429931641,266.281494140625,3693.5888671875,2623.72705078125,4612.859375,319.64484151204425,3643.3917643229165
HUNK,CAMK,P57058,2788.065185546875,2403.479248046875,2872.16259765625,316.0164489746094,343.97589111328125,420.39306640625,2687.90234375,360.1284688313802
IGF1R,TK,P08069,10688.9287109375,8847.0439453125,10155.349609375,2198.13427734375,1989.0848388671875,2951.182861328125,9897.107421875,2379.467325846354
IKBKB,Other,O14920,654.973876953125,517.1756591796875,614.3347778320312,706.7388916015625,735.090576171875,1166.7884521484375,595.4947713216146,869.539306640625
IKBKE,Other,Q14164,363.4669189453125,383.16119384765625,329.4754333496094,1042.3797607421875,998.224853515625,1316.52392578125,358.70118204752606,1119.0428466796875
ILK,TKL,Q13418,938.0477294921876,847.8994140625,842.016845703125,3453.3095703125,3066.98681640625,4541.90625,875.9879964192709,3687.40087890625
INSR,TK,P06213,8334.4482421875,6882.5283203125,7548.53662109375,1422.243408203125,1382.51025390625,2070.41259765625,7588.50439453125,1625.055419921875
IRAK1,TKL,P51617,18538.486328125,15383.8330078125,16416.0,4405.095703125,4737.501953125,6216.384765625,16779.439778645832,5119.660807291667
IRAK2,TKL,O43187,192.1602935791016,106.41304779052734,188.90386962890625,252.1217193603516,280.8739013671875,411.22564697265625,162.49240366617838,314.74042256673175
IRAK4,TKL,Q9NWZ3,8723.9990234375,7297.42822265625,7895.57666015625,9342.0673828125,9809.3369140625,13069.787109375,7972.334635416667,10740.397135416666
JAK1,TK,P23458,7508.4326171875,5895.626953125,6643.8681640625,2356.316162109375,2518.848876953125,3249.365478515625,6682.642578125,2708.1768391927085
